type,details,baseline,threshold_pct,precision,recall,auc,train_set_num,train_start,test_start
Dtree,"criteria: gini, depth: 30, min_leaf: 500, seed: 12345",0.2569174757281553,50,0.26134708737864076,0.5086206896551724,0.5058006273688241,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 0.1, solver: liblinear, seed: 12345",0.2569174757281553,1,0.43333333333333335,0.016887104393008976,0.5046259791114155,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 0.1, solver: liblinear, seed: 12345",0.2569174757281553,2,0.3566009104704097,0.027751535191308456,0.5052198799588749,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 0.1, solver: liblinear, seed: 12345",0.2569174757281553,5,0.30400485436893204,0.05916391119508739,0.5061661463537089,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 0.1, solver: liblinear, seed: 12345",0.2569174757281553,10,0.2788228155339806,0.10852621634388285,0.5057370588497138,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 0.1, solver: liblinear, seed: 12345",0.2569174757281553,20,0.2657766990291262,0.20689655172413793,0.5046405018950593,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 0.1, solver: liblinear, seed: 12345",0.2569174757281553,30,0.26345064724919093,0.30762871988663204,0.5051331579181649,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 0.1, solver: liblinear, seed: 12345",0.2569174757281553,50,0.26225728155339806,0.5103920642418517,0.5069925371021442,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 1.0, solver: liblinear, seed: 12345",0.2569174757281553,1,0.47878787878787876,0.01865847897968824,0.5058178888447356,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 1.0, solver: liblinear, seed: 12345",0.2569174757281553,2,0.37025796661608495,0.028814359943316013,0.5059350257988668,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 1.0, solver: liblinear, seed: 12345",0.2569174757281553,5,0.3118932038834951,0.06069910250354275,0.507199134789253,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 1.0, solver: liblinear, seed: 12345",0.2569174757281553,10,0.2836771844660194,0.11041568256967407,0.5070084292319218,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 1.0, solver: liblinear, seed: 12345",0.2569174757281553,20,0.2675970873786408,0.20831365139348135,0.5055940296817154,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 1.0, solver: liblinear, seed: 12345",0.2569174757281553,30,0.26415857605177995,0.3084553613604157,0.505689382460381,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 1.0, solver: liblinear, seed: 12345",0.2569174757281553,50,0.26268203883495145,0.5112187057156353,0.5075487616443601,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 10.0, solver: liblinear, seed: 12345",0.2569174757281553,1,0.4696969696969697,0.018304204062352385,0.5055795068980715,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 10.0, solver: liblinear, seed: 12345",0.2569174757281553,2,0.37632776934749623,0.029286726499763816,0.506252868394419,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 10.0, solver: liblinear, seed: 12345",0.2569174757281553,5,0.3100728155339806,0.0603448275862069,0.5069607528425889,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 10.0, solver: liblinear, seed: 12345",0.2569174757281553,10,0.2836771844660194,0.11041568256967407,0.5070084292319218,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 10.0, solver: liblinear, seed: 12345",0.2569174757281553,20,0.2669902912621359,0.20784128483703354,0.5052761870861633,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 10.0, solver: liblinear, seed: 12345",0.2569174757281553,30,0.2640574433656958,0.3083372697213037,0.505609921811493,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 10.0, solver: liblinear, seed: 12345",0.2569174757281553,50,0.262621359223301,0.5111006140765234,0.5074693009954722,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 100.0, solver: liblinear, seed: 12345",0.2569174757281553,1,0.4696969696969697,0.018304204062352385,0.5055795068980715,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 100.0, solver: liblinear, seed: 12345",0.2569174757281553,2,0.37177541729893776,0.028932451582427965,0.5060144864477549,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 100.0, solver: liblinear, seed: 12345",0.2569174757281553,5,0.3088592233009709,0.060108644307982996,0.5068018315448131,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 100.0, solver: liblinear, seed: 12345",0.2569174757281553,10,0.2824635922330097,0.10994331601322627,0.5066905866363698,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 100.0, solver: liblinear, seed: 12345",0.2569174757281553,20,0.2668385922330097,0.2077231931979216,0.5051967264372753,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 100.0, solver: liblinear, seed: 12345",0.2569174757281553,30,0.26415857605177995,0.3084553613604157,0.505689382460381,1,2012-01-01,2012-07-01
LR,"penalty: l1, c: 100.0, solver: liblinear, seed: 12345",0.2569174757281553,50,0.262621359223301,0.5111006140765234,0.5074693009954722,1,2012-01-01,2012-07-01
LR,"penalty: l2, c: 0.1, solver: liblinear, seed: 12345",0.2569174757281553,1,0.4818181818181818,0.018776570618800188,0.5058973494936234,1,2012-01-01,2012-07-01
LR,"penalty: l2, c: 0.1, solver: liblinear, seed: 12345",0.2569174757281553,2,0.37329286798179057,0.029050543221539916,0.506093947096643,1,2012-01-01,2012-07-01
