,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
39,"Block Group 1, Census Tract 203.01, Cook County, Illinois",56.3,934,144,56,22,18,37,66,0,87,40,36,147,71,225,1496,1238,89,155,17,031,020301,1
40,"Block Group 2, Census Tract 203.01, Cook County, Illinois",44.9,531,77,0,42,0,47,32,34,24,29,52,47,55,106,1370,935,0,425,17,031,020301,2
41,"Block Group 3, Census Tract 203.01, Cook County, Illinois",26.1,522,0,0,9,23,52,10,59,10,21,36,37,92,77,2021,1723,99,123,17,031,020301,3
42,"Block Group 1, Census Tract 203.02, Cook County, Illinois",34.5,279,37,11,16,0,8,19,7,6,20,31,0,15,33,786,640,59,62,17,031,020302,1
43,"Block Group 2, Census Tract 203.02, Cook County, Illinois",36.4,380,9,0,27,17,7,27,9,0,26,30,27,35,177,1058,550,214,273,17,031,020302,2
44,"Block Group 3, Census Tract 203.02, Cook County, Illinois",40.3,1051,59,48,39,42,8,34,15,20,35,97,195,128,518,2451,1695,374,208,17,031,020302,3
45,"Block Group 3, Census Tract 204, Cook County, Illinois",33.2,797,54,51,29,13,30,59,70,9,22,51,98,117,434,1679,555,808,273,17,031,020400,3
46,"Block Group 1, Census Tract 204, Cook County, Illinois",55.0,388,10,21,8,35,9,8,48,43,0,35,15,77,38,749,579,32,49,17,031,020400,1
47,"Block Group 2, Census Tract 204, Cook County, Illinois",37.1,558,14,24,9,65,10,16,21,18,60,38,43,34,342,1309,679,179,416,17,031,020400,2
48,"Block Group 1, Census Tract 205, Cook County, Illinois",30.8,927,45,30,28,97,73,60,35,162,47,107,46,93,1088,1921,573,235,820,17,031,020500,1
49,"Block Group 3, Census Tract 205, Cook County, Illinois",46.4,583,154,48,57,51,20,82,75,0,0,31,12,15,240,1451,341,532,552,17,031,020500,3
50,"Block Group 2, Census Tract 205, Cook County, Illinois",26.5,335,16,0,15,41,0,14,15,13,51,18,44,27,574,605,59,32,227,17,031,020500,2
51,"Block Group 4, Census Tract 205, Cook County, Illinois",39.4,299,69,0,0,28,13,0,0,69,31,11,14,32,59,607,69,180,323,17,031,020500,4
